,0,1
327,1395446400000,561.22
328,1395532800000,567.779
329,1395619200000,571.418
330,1395705600000,582.55
331,1395792000000,584.442
332,1395878400000,567.64
333,1395964800000,503.661
334,1396051200000,502.302
335,1396137600000,469.938
336,1396224000000,457.399
337,1396310400000,478.7163
338,1396396800000,437.515
339,1396483200000,447.0822
340,1396569600000,448.8792
341,1396656000000,464.8259
342,1396742400000,460.7028
343,1396828800000,457.792
344,1396915200000,450.4638
345,1397001600000,440.1983
346,1397088000000,360.8407
347,1397174400000,420.0563
348,1397260800000,420.66
349,1397347200000,414.9495
350,1397433600000,457.6338
351,1397520000000,520.1233
352,1397606400000,529.1625
353,1397692800000,494.4
354,1397779200000,478.2312
355,1397865600000,501.5515
356,1397952000000,497.3177
357,1398038400000,492.6733
358,1398124800000,484.8533
359,1398211200000,487.525
360,1398297600000,494.2733
361,1398384000000,458.8067
362,1398470400000,453.8
363,1398556800000,437.9216
364,1398643200000,436.92
365,1398729600000,443.27
366,1398816000000,444.9968
367,1398902400000,455.0913
368,1398988800000,443.4734
369,1399075200000,434.0333
370,1399161600000,433.9432
371,1399248000000,429.0761
372,1399334400000,426.7634
373,1399420800000,439.3
374,1399507200000,437.3633
375,1399593600000,447.4933
376,1399680000000,452.505
377,1399766400000,436.2833
378,1399852800000,439.19
379,1399939200000,437.305
380,1400025600000,444.2467
381,1400112000000,444.25
382,1400198400000,445.165
383,1400284800000,445.8533
384,1400371200000,444.2133
385,1400457600000,443.87
386,1400544000000,483.4167
387,1400630400000,488.7717
388,1400716800000,522.6083
389,1400803200000,524.475
390,1400889600000,523.1083
391,1400976000000,569.3767
392,1401062400000,579.6217
393,1401148800000,569.475
394,1401235200000,571.5533
395,1401321600000,565.26
396,1401408000000,621.1467
397,1401494400000,620.5
398,1401580800000,640.1617
399,1401667200000,656.41
400,1401753600000,667.3683
401,1401840000000,641.1833
402,1401926400000,658.1
403,1402012800000,648.63
404,1402099200000,651.7083
405,1402185600000,649.8983
406,1402272000000,643.905
407,1402358400000,649.0567
408,1402444800000,630.0367
409,1402531200000,567.175
410,1402617600000,594.6833
411,1402704000000,570.0033
412,1402790400000,583.41
413,1402876800000,592.52
414,1402963200000,607.1583
415,1403049600000,604.19
416,1403136000000,593.3883000000002
417,1403222400000,590.055
418,1403308800000,591.2567
419,1403395200000,595.0367
420,1403481600000,586.1482999999998
421,1403568000000,582.4149999999998
422,1403654400000,561.4716999999999
423,1403740800000,579.5867
424,1403827200000,598.2367
425,1403913600000,594.8717000000001
426,1404000000000,598.4883
427,1404086400000,637.7549999999999
428,1404172800000,643.9350000000001
429,1404259200000,648.1075000000002
430,1404345600000,640.2838000000003
431,1404432000000,627.1288
432,1404518400000,627.5812999999999
433,1404604800000,631.0025
434,1404691200000,619.4950000000002
435,1404777600000,620.0474999999996
436,1404864000000,620.16
437,1404950400000,615.1275000000002
438,1405036800000,630.8350000000002
439,1405123200000,633.6389951679741
440,1405209600000,627.4623228193354
441,1405296000000,618.2050265064788
442,1405382400000,618.9524999999999
443,1405468800000,614.1474999999997
444,1405555200000,622.8950000000001
445,1405641600000,627.0188000000003
446,1405728000000,626.1763000000001
447,1405814400000,620.5138
448,1405900800000,619.9088000000002
449,1405987200000,619.0062999999999
450,1406073600000,617.9425000000001
451,1406160000000,599.8088
452,1406246400000,600.0963000000002
453,1406332800000,593.7750000000001
454,1406419200000,590.3788
455,1406505600000,585.2787999999998
456,1406592000000,581.7138
457,1406678400000,560.7912999999999
458,1406764800000,583.1821057431899
459,1406851200000,593.8655273953669
460,1406937600000,588.2306991611412
461,1407024000000,585.5731940766995
462,1407110400000,586.3686859113967
463,1407196800000,582.4186267649761
464,1407283200000,583.3249999999999
465,1407369600000,587.2031590188054
466,1407456000000,590.9072702245192
467,1407542400000,588.1078559835756
468,1407628800000,588.5004825541756
469,1407715200000,573.4063
470,1407801600000,567.4023482208208
471,1407888000000,543.6674999999999
472,1407974400000,503.7087999999998
473,1408060800000,492.2844982828295
474,1408147200000,521.0463000000001
475,1408233600000,494.7813
476,1408320000000,459.8863000000001
477,1408406400000,484.1549999999999
478,1408492800000,514.1863000000001
479,1408579200000,515.605
480,1408665600000,515.8263000000001
481,1408752000000,496.5688000000001
482,1408838400000,508.1138
483,1408924800000,500.3863
484,1409011200000,510.6387999999999
485,1409097600000,510.4463
486,1409184000000,506.9150000000001
487,1409270400000,508.0963
488,1409356800000,501.5300000000001
489,1409443200000,480.0262999999999
490,1409529600000,475.8200000000002
491,1409616000000,474.6938
492,1409702400000,474.7263000000001
493,1409788800000,489.5475000000001
494,1409875200000,480.2425000000001
495,1409961600000,482.3588
496,1410048000000,480.6025
497,1410134400000,471.1250000000001
498,1410220800000,471.7538
499,1410307200000,477.1138
500,1410393600000,476.3775000000001
501,1410480000000,473.6874999999999
502,1410566400000,476.0013
503,1410652800000,474.795
504,1410739200000,473.0313
505,1410825600000,462.5925
506,1410912000000,454.6238000000001
507,1410998400000,423.565
508,1411084800000,393.2624999999999
509,1411171200000,408.5025
510,1411257600000,396.62
511,1411344000000,398.3113000000001
512,1411430400000,433.7512999999999
513,1411516800000,420.92
514,1411603200000,407.9775
515,1411689600000,402.88
516,1411776000000,398.0074999999999
517,1411862400000,375.9887999999999
518,1411948800000,373.0888
519,1412035200000,387.3512999999999
520,1412121600000,380.8949999999999
521,1412208000000,371.8413
522,1412294400000,356.1899999999999
523,1412380800000,327.8813
524,1412467200000,325.1099999999999
525,1412553600000,328.73
526,1412640000000,331.7238
527,1412726400000,353.3901000000001
