,circulating_Ethereum,minted_Ethereum,datetime,circulating_Polygon,minted_Polygon,circulating_Tron,minted_Tron,circulating_BSC,minted_BSC
323,31763765199.72057,35283904986.78857,2023-03-31,733061865.734708,0,41096745915.275696,44125091014.5511,3179993107.3491035,0
324,31750085995.74858,35283904986.78857,2023-04-01,733645007.296554,0,41117891968.52387,44125091014.5511,3179980326.6871142,0
325,31745221418.62698,35283904986.78857,2023-04-02,733867716.8175921,0,41120390484.32721,44125091014.5511,3179983551.9274025,0
326,31734040220.51904,35283904986.78857,2023-04-03,734139918.320013,0,41229225975.19849,44125091014.5511,3179982648.3620467,0
327,31733701377.30303,35283904986.78857,2023-04-04,734406949.533762,0,41332105461.163635,44125091014.5511,3179986838.819828,0
328,31849465434.228424,35283904986.78857,2023-04-05,735674207.136377,0,41304008751.902115,44125091014.5511,3179981926.1816163,0
329,31843779551.759228,35283904986.78857,2023-04-06,733583556.597571,0,41398593217.747894,44125091014.5511,3179976500.785715,0
330,31842323367.894447,35283904986.78857,2023-04-07,728768908.428621,0,41481107140.8175,44125091014.5511,3179980935.895073,0
331,31839279588.94155,35283904986.78857,2023-04-08,723436641.3579562,0,41485446589.54382,44125091014.5511,3179986723.670048,0
332,31832221088.82815,35283904986.78857,2023-04-09,725100111.6546769,0,41498116690.43667,44125091014.5511,3179985644.3669624,0
333,31847811393.01917,35283904986.78857,2023-04-10,725403195.070012,0,41498101151.57968,44125091014.5511,3180004252.513272,0
334,31963336743.918564,35283904986.78857,2023-04-11,725565869.4229419,0,41533459107.87959,44125091014.5511,3179996752.02971,0
335,32064166595.482857,35283904986.78857,2023-04-12,725446870.349859,0,41533486964.53045,44125091014.5511,3179998452.9309955,0
336,32098781193.5059,35283904986.78857,2023-04-13,725589927.0542071,0,41656737549.74767,44125091014.5511,3179946436.970114,0
337,32093974076.161797,35283904986.78857,2023-04-14,725054879.3753241,0,41843233124.42054,44125091014.5511,3179951792.4558353,0
338,32056037554.96234,35283904986.78857,2023-04-15,725607082.6772461,0,41977156784.60605,45125091014.5511,3179920499.0348926,0
339,32181000279.675964,35283904986.78857,2023-04-16,719198967.0380902,0,41873655323.791664,45125091014.5511,3179890178.1702623,0
340,32172958699.268192,35283904986.78857,2023-04-17,719395828.7803221,0,41883461093.757866,45125091014.5511,3179885004.892722,0
341,32180607270.20522,35283904986.78857,2023-04-18,714225705.0817442,0,42012401557.01018,45125091014.5511,3179915365.4029174,0
342,32257304801.764458,35283904986.78857,2023-04-19,705358725.1240312,0,42123780117.35311,45125091014.5511,3179906042.7528157,0
343,32276983485.788628,35283904986.78857,2023-04-20,688405095.4324172,0,42250998773.203224,45125091014.5511,3179903341.468406,0
344,32461531397.054676,36283904986.78857,2023-04-21,682641048.0981091,0,42197284232.10235,45125091014.5511,3179910118.42745,0
345,32463381210.533577,36283188702.72137,2023-04-22,683641051.9814932,0,42212737463.86214,45124710623.334984,3180122195.6851263,0
346,32459299505.021847,36283188702.72137,2023-04-23,683410048.6464201,0,42230645079.58041,45124710623.334984,3179920551.831786,0
347,32462338303.844055,36283188702.72137,2023-04-24,683671176.812783,0,42240268174.31815,45124710623.334984,3179915454.5300303,0
348,32461838560.24312,36283188702.72137,2023-04-25,683427315.636097,0,42313869681.276886,45124710623.334984,3179900069.3905163,0
349,32459171902.893345,36283188702.72137,2023-04-26,688362799.2812562,0,42350123031.24269,45124710623.334984,3179509572.398543,0
350,32432135159.096325,36283188702.72137,2023-04-27,695159099.165783,0,42363039742.138794,45124710623.334984,3179891498.0894494,0
351,32415913763.351036,36283188702.72137,2023-04-28,695345830.340433,0,42379699872.92525,45124710623.334984,3179886835.796102,0
352,32449027526.664143,36283188702.72137,2023-04-29,695934562.044775,0,42459939121.39928,45124710623.334984,3179881603.9277434,0
353,32579918046.92541,36283188702.72137,2023-04-30,695967867.734704,0,42326072107.41981,45124710623.334984,3179877229.30039,0
354,32589677877.011333,36283188702.72137,2023-05-01,694053946.978042,0,42334956401.23654,45124710623.334984,3179878189.6907215,0
355,32610562398.764194,36283188702.72137,2023-05-02,694413249.7224101,0,42387046517.367,45124710623.334984,3179883874.231796,0
356,32654139684.716682,36283188702.72137,2023-05-03,698795233.842011,0,42390098499.249466,45124710623.334984,3179881528.74502,0
357,32669945836.0491,36283188702.72137,2023-05-04,699932951.245493,0,42511716601.19264,45124710623.334984,3179830641.337715,0
358,32670743664.83646,36283188702.72137,2023-05-05,692468591.141126,0,42588308145.64966,45124710623.334984,3179817694.869978,0
359,32713910364.796494,36283188702.72137,2023-05-06,684747549.665925,0,42604317456.00622,45124710623.334984,3179821833.814827,0
360,32704027437.31587,36283188702.72137,2023-05-07,685190996.6211622,0,42614440935.82314,45124710623.334984,3179826938.911199,0
361,32694441174.23675,36283188702.72137,2023-05-08,680612222.734068,0,42630037678.14233,45124710623.334984,3179825794.5512633,0
362,32810977542.32129,36283188702.72137,2023-05-09,680993498.646135,0,42586799449.93505,46124710623.334984,3379812824.551674,0
363,32761291240.1511,36283188702.72137,2023-05-10,682464102.838202,0,42763500772.13756,46124710623.334984,3379802904.2808886,0
364,32769850400.016914,36283188702.72137,2023-05-11,683050214.3839489,0,42906506156.88175,46124710623.334984,3379818123.0478544,0
365,32829208544.835407,36283188702.72137,2023-05-12,683318624.9163169,0,42940523916.290924,46124710623.334984,3379812820.3977547,0
366,32869680186.53488,36283188702.72137,2023-05-13,683885025.1557139,0,43002218445.809006,46124710623.334984,3379804806.981231,0
367,32867140459.261696,36283188702.72137,2023-05-14,684800681.1532841,0,43002616560.925415,46124710623.334984,3379811172.674039,0
368,32873002741.589825,36283188702.72137,2023-05-15,675375137.686766,0,43023406335.0898,46124710623.334984,3379826296.197271,0
369,32873895057.837166,36283188702.72137,2023-05-16,675336419.3352109,0,43028434869.920265,46124710623.334984,3379825808.0702963,0
370,32852601299.162727,36283188702.72137,2023-05-17,675623753.702997,0,43051437331.33211,46124710623.334984,3379822396.544492,0
