,UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN,datetime
228,DAY,1639785600,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0003,1.0005,1.0,1.0005,1639785600,1639871993,1.0004,1.0005,1639871993,1.0,1639813760,1.0005,30255,10759,19496,0,44596451.77,44610740.306055,18084892.9,18089878.330513,26511558.87,26520861.975542,0,0,2021-12-18
229,DAY,1639872000,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0005,1.0005,1.0002,1.0003,1639872000,1639958397,1.0005,1.0005,1639955235,1.0002,1639958396,1.0003,31425,13479,17946,0,41718106.66,41732504.861346,21528722.66,21535428.514837,20189384.0,20197076.346509,0,0,2021-12-19
230,DAY,1639958400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0003,1.0004,1.0,1.0003,1639958402,1640044797,1.0002,1.0004,1639988398,1.0,1640016208,1.0003,43750,18160,25590,0,48092619.67,48104057.33793,21845034.68,21849252.918273,26247584.99,26254804.419657,0,0,2021-12-20
231,DAY,1640044800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0003,1.0005,1.0001,1.0004,1640044800,1640131199,1.0003,1.0005,1640118140,1.0001,1640072427,1.0004,40026,14177,25849,0,59180139.78,59197840.906621,21944160.19,21949309.426202,37235979.59,37248531.480419,0,0,2021-12-21
232,DAY,1640131200,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0004,1.0009,1.0001,1.0002,1640131200,1640217599,1.0004,1.0009,1640206230,1.0001,1640158537,1.0002,45919,19041,26878,0,70495802.51,70524929.00461,24830474.16,24839071.032528,45665328.35,45685857.972082,0,0,2021-12-22
233,DAY,1640217600,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0002,1.0006,1.0001,1.0004,1640217602,1640303999,1.0002,1.0006,1640303508,1.0001,1640282818,1.0004,60391,18599,41792,0,57340997.64,57359155.443864,21244206.17,21249622.097155,36096791.47,36109533.346709,0,0,2021-12-23
234,DAY,1640304000,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0004,1.0007,1.0003,1.0005,1640304000,1640390395,1.0005,1.0007,1640384430,1.0003,1640340108,1.0005,61150,28270,32880,0,60917474.17,60947632.855792,23222628.02,23232640.172254,37694846.15,37714992.683538,0,0,2021-12-24
235,DAY,1640390400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0005,1.0007,1.0004,1.0005,1640390402,1640476793,1.0006,1.0007,1640411865,1.0004,1640476792,1.0005,32862,13090,19772,0,28349022.07,28364785.500098,11126634.81,11132231.211685,17222387.26,17232554.288413,0,0,2021-12-25
236,DAY,1640476800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0005,1.0006,1.0004,1.0005,1640476805,1640563199,1.0005,1.0006,1640517708,1.0004,1640563195,1.0005,35941,15239,20702,0,25789603.16,25802416.953449,11362208.57,11367277.878469,14427394.59,14435139.07498,0,0,2021-12-26
237,DAY,1640563200,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0005,1.0006,1.0,1.0003,1640563203,1640649599,1.0005,1.0006,1640618082,1.0,1640591090,1.0003,42129,18062,24067,0,65646628.16,65671559.655403,37839834.24,37852246.682357,27806793.92,27819312.973046,0,0,2021-12-27
238,DAY,1640649600,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0003,1.0005,0.9991,1.0,1640649601,1640735997,1.0002,1.0005,1640654719,0.9991,1640721661,1.0,66411,32805,33606,0,100530194.92,100549819.323269,54253642.45,54261582.613286,46276552.47,46288236.709983,0,0,2021-12-28
239,DAY,1640736000,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0,1.0003,0.9903,1.0001,1640736000,1640822398,1.0,1.0003,1640780847,0.9903,1640757531,1.0001,42094,16872,25222,0,48741375.58,48742022.81375,18313936.43,18310493.266415,30427439.15,30431529.547335,0,0,2021-12-29
240,DAY,1640822400,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0001,1.0003,0.9998,0.9999,1640822403,1640908799,1.0001,1.0003,1640890977,0.9998,1640905894,0.9999,36637,13651,22986,0,51458740.32,51461118.725187,18018940.63,18018527.956167,33439799.69,33442590.76902,0,0,2021-12-30
241,DAY,1640908800,954,coinbase,USDT-USD,USDT-USD,USDT,USD,0.9999,1.0005,0.9955,1.0001,1640908800,1640995199,1.0,1.0005,1640993361,0.9955,1640930162,1.0001,56368,25142,31226,0,61499586.93,61502796.252696,26079265.96,26079143.576751,35420320.97,35423652.675945,0,0,2021-12-31
242,DAY,1640995200,954,coinbase,USDT-USD,USDT-USD,USDT,USD,1.0001,1.0003,0.9992,1.0001,1640995200,1641081599,1.0001,1.0003,1640995499,0.9992,1641062267,1.0001,32698,11918,20780,0,33171283.71,33172353.509397,13840128.55,13839793.287711,19331155.16,19332560.221686,0,0,2022-01-01
