,datetime,usdt_mcap,usdc_mcap,busd_mcap
120,2022-04-25,83221428015.88246,49912345763.22157,17551305769.093178
121,2022-04-26,83139688331.49197,49854024064.48293,17682983077.40298
122,2022-04-27,83214573094.12813,49362464744.52182,17550114148.80571
123,2022-04-28,83154011772.12584,49391470738.54542,17408366980.1574
124,2022-04-29,83139556788.14339,49383094280.61025,17339797707.436516
125,2022-04-30,83229249234.98518,49286152379.40319,17684739664.26399
126,2022-05-01,83424696945.27954,49179894107.55351,17661549099.82557
127,2022-05-02,83267550080.02553,49285265562.80889,17706309294.505226
128,2022-05-03,83147512568.42366,49141005064.36654,17847045359.98147
129,2022-05-04,83241023585.97873,49029382275.05414,17883191101.520172
130,2022-05-05,83185453774.38527,48776655220.89988,17847898191.01641
131,2022-05-06,83270750870.97081,48837550840.18622,17878399805.10193
132,2022-05-07,83284503885.03922,48447145523.6587,17508261067.860287
133,2022-05-08,83355823232.93599,48504620165.86575,17525121027.161633
134,2022-05-09,83279712048.29787,48600409738.57124,17255932046.855686
135,2022-05-10,83264870157.7176,48657094759.71666,17250888567.203945
136,2022-05-11,83248981251.48763,48451920961.813194,17107246520.251076
137,2022-05-12,82690895711.44499,49012944580.02008,17036192290.330885
138,2022-05-13,79438155501.21606,49845265548.493996,17197124159.393955
139,2022-05-14,78910081379.14339,50938222009.42086,17630481063.041054
140,2022-05-15,75987316850.90068,51311542814.74505,17766174283.870155
141,2022-05-16,75895175498.49956,51276012853.61831,17832296983.462715
142,2022-05-17,75855994702.69917,52172633713.00465,18008453182.520115
143,2022-05-18,74309953980.40013,52382101410.14185,18231826226.46174
144,2022-05-19,74284590322.70355,52477602164.67322,18411667810.06532
145,2022-05-20,74305004327.94095,52829406131.99263,18629953827.90614
146,2022-05-21,73306682137.62425,53023637496.412125,18589913566.88588
147,2022-05-22,73335816773.29922,53189636031.84309,18615310706.888775
148,2022-05-23,73292755418.56763,53262551890.12862,18556805373.557507
149,2022-05-24,73293335399.14137,53364339709.0994,18359470136.628292
150,2022-05-25,73281161166.42685,53454117663.799805,18347994441.396645
