Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,1.743000,1.765000,1.660000,1.695000,1.695000,0
2022-06-16,1.583000,1.603000,1.463000,1.483000,1.483000,0
2022-06-17,1.463000,1.518000,1.450000,1.510000,1.510000,0
2022-06-19,null,null,null,null,null,null
2022-06-21,1.543000,1.543000,1.455000,1.488000,1.488000,0
2022-06-22,1.585000,1.600000,1.513000,1.545000,1.545000,0
2022-06-23,1.500000,1.568000,1.475000,1.560000,1.560000,0
2022-06-24,1.568000,1.610000,1.540000,1.598000,1.598000,0
2022-06-26,null,null,null,null,null,null
2022-06-27,1.603000,1.633000,1.590000,1.633000,1.633000,0
2022-06-28,1.738000,1.743000,1.735000,1.738000,1.738000,0
2022-06-29,1.730000,1.748000,1.695000,1.705000,1.705000,0
2022-06-30,1.660000,1.673000,1.590000,1.600000,1.600000,0
2022-07-01,1.610000,1.628000,1.573000,1.603000,1.603000,0
2022-07-03,null,null,null,null,null,null
2022-07-05,1.613000,1.653000,1.603000,1.630000,1.630000,0
2022-07-06,1.838000,1.858000,1.800000,1.840000,1.840000,0
2022-07-07,1.813000,1.863000,1.805000,1.853000,1.853000,0
2022-07-08,1.833000,1.868000,1.825000,1.843000,1.843000,0
2022-07-10,null,null,null,null,null,null
2022-07-11,1.853000,1.965000,1.843000,1.953000,1.953000,0
2022-07-12,2.108000,2.128000,2.085000,2.113000,2.113000,0
2022-07-13,2.118000,2.323000,2.095000,2.323000,2.323000,0
2022-07-14,2.310000,2.363000,2.255000,2.273000,2.273000,0
2022-07-15,2.240000,2.288000,2.215000,2.240000,2.240000,0
2022-07-17,null,null,null,null,null,null
2022-07-18,2.253000,2.303000,2.248000,2.260000,2.260000,0
2022-07-19,2.430000,2.450000,2.398000,2.450000,2.450000,0
2022-07-20,2.398000,2.405000,2.378000,2.378000,2.378000,0
2022-07-21,2.413000,2.415000,2.333000,2.360000,2.360000,0
2022-07-22,2.355000,2.375000,2.303000,2.355000,2.355000,0
2022-07-24,null,null,null,null,null,null
2022-07-25,2.390000,2.428000,2.365000,2.393000,2.393000,0
2022-07-26,2.480000,2.485000,2.125000,2.475000,2.475000,0
2022-07-27,2.460000,2.463000,2.318000,2.383000,2.383000,0
2022-07-28,2.348000,2.348000,2.258000,2.308000,2.308000,0
2022-07-29,2.290000,2.318000,2.273000,2.298000,2.298000,0
2022-07-31,null,null,null,null,null,null
2022-08-01,2.290000,2.313000,2.263000,2.265000,2.265000,0
2022-08-02,2.438000,2.465000,2.418000,2.463000,2.463000,0
2022-08-03,2.443000,2.470000,2.398000,2.428000,2.428000,0
2022-08-04,2.373000,2.388000,2.348000,2.378000,2.378000,0
2022-08-05,2.373000,2.425000,2.328000,2.410000,2.410000,0
2022-08-07,null,null,null,null,null,null
2022-08-08,2.433000,2.470000,2.425000,2.460000,2.460000,0
2022-08-09,2.575000,2.578000,2.535000,2.570000,2.570000,0
2022-08-10,2.573000,2.578000,2.488000,2.535000,2.535000,0
2022-08-11,2.498000,2.498000,2.443000,2.490000,2.490000,0
2022-08-12,2.483000,2.503000,2.455000,2.500000,2.500000,0
2022-08-14,null,null,null,null,null,null
2022-08-15,2.488000,2.513000,2.445000,2.513000,2.513000,0
2022-08-16,2.603000,2.610000,2.598000,2.598000,2.598000,0
2022-08-17,2.500000,2.628000,2.500000,2.568000,2.568000,0
2022-08-18,2.548000,2.568000,2.538000,2.565000,2.565000,0
2022-08-19,2.573000,2.580000,2.558000,2.580000,2.580000,0
2022-08-21,null,null,null,null,null,null
2022-08-22,2.585000,2.675000,2.585000,2.648000,2.648000,0
2022-08-23,2.718000,2.720000,2.655000,2.703000,2.703000,0
2022-08-24,2.698000,2.715000,2.665000,2.713000,2.713000,0
2022-08-25,2.705000,2.730000,2.700000,2.730000,2.730000,0
2022-08-26,2.738000,2.755000,2.698000,2.755000,2.755000,0
2022-08-28,null,null,null,null,null,null
2022-08-29,2.750000,2.813000,2.750000,2.798000,2.798000,0
2022-08-30,2.865000,2.903000,2.853000,2.873000,2.873000,0
2022-08-31,2.863000,2.870000,2.840000,2.860000,2.860000,0
2022-09-01,2.860000,2.870000,2.848000,2.863000,2.863000,0
2022-09-02,2.835000,2.848000,2.800000,2.820000,2.820000,0
2022-09-04,null,null,null,null,null,null
2022-09-06,2.823000,2.863000,2.818000,2.845000,2.845000,0
2022-09-07,2.968000,2.968000,2.908000,2.933000,2.933000,0
2022-09-08,2.948000,2.965000,2.933000,2.950000,2.950000,0
2022-09-09,2.955000,2.973000,2.935000,2.968000,2.968000,0
2022-09-11,null,null,null,null,null,null
2022-09-12,2.943000,3.000000,2.943000,2.995000,2.995000,0
2022-09-13,3.073000,3.213000,3.025000,3.153000,3.153000,0
2022-09-14,3.168000,3.188000,3.000000,3.128000,3.128000,0
2022-09-15,3.138000,3.143000,3.075000,3.095000,3.095000,0
2022-09-16,3.095000,3.095000,3.050000,3.070000,3.070000,0
2022-09-18,null,null,null,null,null,null
2022-09-19,3.070000,3.093000,3.018000,3.035000,3.035000,0
2022-09-20,3.260000,3.263000,3.210000,3.243000,3.243000,0
2022-09-21,3.243000,3.253000,3.190000,3.190000,3.190000,0
2022-09-22,3.185000,3.185000,3.130000,3.130000,3.130000,0
2022-09-23,3.148000,3.148000,3.080000,3.108000,3.108000,0
2022-09-25,null,null,null,null,null,null
2022-09-26,3.113000,3.168000,3.098000,3.165000,3.165000,0
2022-09-27,3.265000,3.265000,3.218000,3.250000,3.250000,0
2022-09-28,3.215000,3.235000,3.200000,3.230000,3.230000,0
2022-09-29,3.225000,3.243000,3.185000,3.218000,3.218000,0
2022-09-30,3.205000,3.235000,3.165000,3.180000,3.180000,0
2022-10-02,null,null,null,null,null,null
2022-10-03,3.165000,3.190000,3.140000,3.150000,3.150000,0
2022-10-04,3.305000,3.320000,3.260000,3.315000,3.315000,0
2022-10-05,3.290000,3.315000,3.290000,3.293000,3.293000,0
2022-10-06,3.285000,3.298000,3.263000,3.288000,3.288000,0
2022-10-07,3.273000,3.295000,3.233000,3.293000,3.293000,0
2022-10-09,null,null,null,null,null,null
2022-10-10,3.285000,3.285000,3.285000,3.285000,3.285000,0
2022-10-11,3.293000,3.340000,3.283000,3.340000,3.340000,0
2022-10-12,3.525000,3.540000,3.475000,3.533000,3.533000,0
2022-10-13,3.515000,3.603000,3.485000,3.583000,3.583000,0
2022-10-14,3.603000,3.640000,3.580000,3.628000,3.628000,0
2022-10-16,null,null,null,null,null,null
2022-10-17,3.600000,3.688000,3.595000,3.688000,3.688000,0
2022-10-18,3.815000,3.835000,3.755000,3.833000,3.833000,0
2022-10-19,3.835000,3.910000,3.813000,3.893000,3.893000,0
2022-10-20,3.895000,3.903000,3.855000,3.890000,3.890000,0
2022-10-21,3.898000,3.900000,3.845000,3.885000,3.885000,0
2022-10-23,null,null,null,null,null,null
2022-10-24,3.883000,3.913000,3.860000,3.913000,3.913000,0
2022-10-25,3.975000,3.975000,3.940000,3.965000,3.965000,0
2022-10-26,3.963000,3.963000,3.890000,3.930000,3.930000,0
2022-10-27,3.913000,3.930000,3.883000,3.930000,3.930000,0
2022-10-28,3.948000,3.973000,3.943000,3.970000,3.970000,0
2022-10-30,null,null,null,null,null,null
2022-10-31,3.950000,3.995000,3.950000,3.975000,3.975000,0
