,USDT_value,USDC_value,timestamp
135,206073185.28275,120703737.87354,2020-10-02 00:00:00
136,200224989.44006,107171781.2699,2020-10-03 00:00:00
137,196994118.01629,99975633.80161,2020-10-04 00:00:00
138,198730223.24473,109452673.37601,2020-10-05 00:00:00
139,156515803.23612,121771737.93013,2020-10-06 00:00:00
140,180356133.22308,128039551.67419,2020-10-07 00:00:00
141,177376905.2579,114104221.51179,2020-10-08 00:00:00
142,165630671.94882,112562102.59393,2020-10-09 00:00:00
143,128640925.41949,108614311.07265,2020-10-10 00:00:00
144,84797488.33737,103208723.91815,2020-10-11 00:00:00
145,67113357.65659,99931375.33906,2020-10-12 00:00:00
146,63388811.35978,104120982.58221,2020-10-13 00:00:00
147,60168055.52954,102394704.06966,2020-10-14 00:00:00
148,45774622.01646,99631305.13325,2020-10-15 00:00:00
149,49530355.0757,100641710.80576,2020-10-16 00:00:00
150,49802054.31261,101244583.96074,2020-10-17 00:00:00
151,49247497.18774,89706645.80009,2020-10-18 00:00:00
152,50221689.52504,73054648.16272,2020-10-19 00:00:00
153,48579495.45082,58645016.47511,2020-10-20 00:00:00
154,2475006.15585,7330508.22891,2020-10-21 00:00:00
155,20568872.47255,44600024.33409,2020-10-22 00:00:00
156,19412222.32013,65709474.8366,2020-10-23 00:00:00
157,49678929.13491,61210286.38705,2020-10-24 00:00:00
158,46649210.36058,56538322.32805,2020-10-25 00:00:00
159,44098617.54946,55445261.92169,2020-10-26 00:00:00
160,20983160.93178,17642461.86778,2020-10-27 00:00:00
161,13955052.2148,8767819.25358,2020-10-28 00:00:00
162,55110746.50156,16365131.02545,2020-10-29 00:00:00
163,51327699.76941,18325383.22645,2020-10-30 00:00:00
164,50080925.61925,30256015.57807,2020-10-31 00:00:00
165,48168525.16365,36984203.76075,2020-11-01 00:00:00
166,43905326.9433,42162108.14981,2020-11-02 00:00:00
167,42270067.79139,59276854.38762,2020-11-03 00:00:00
168,44192012.07178,63602330.4768,2020-11-04 00:00:00
169,42212891.90784,60320977.34023,2020-11-05 00:00:00
170,26100387.81388,49986972.60904,2020-11-06 00:00:00
171,16598333.43895,46832763.55339,2020-11-07 00:00:00
172,8230206.5027,45872133.2746,2020-11-08 00:00:00
173,13950423.18336,40958878.61576,2020-11-09 00:00:00
174,14987837.31351,53814361.72238,2020-11-10 00:00:00
175,19057435.37351,49642661.26121,2020-11-11 00:00:00
176,25212093.30558,52046605.53424,2020-11-12 00:00:00
177,8965575.04209,51077847.90386,2020-11-13 00:00:00
178,13307972.96658,53597180.87366,2020-11-14 00:00:00
179,11942205.80996,51186696.16499,2020-11-15 00:00:00
180,14922027.58651,46825020.0205,2020-11-16 00:00:00
181,21965186.04654,42946642.84833,2020-11-17 00:00:00
182,33867768.36031,45053738.19639,2020-11-18 00:00:00
183,12971911.7321,75019469.60471,2020-11-19 00:00:00
184,32490348.74996,45927557.41015,2020-11-20 00:00:00
185,27336121.12745,33074587.56756,2020-11-21 00:00:00
186,23155132.57495,27780083.13291,2020-11-22 00:00:00
187,13790304.8142,20940913.28209,2020-11-23 00:00:00
188,14065516.42229,23415980.89099,2020-11-24 00:00:00
189,15601307.05414,20855160.65479,2020-11-25 00:00:00
190,35995466.57424,22966244.5812,2020-11-26 00:00:00
191,37691511.10858,10598676.16299,2020-11-27 00:00:00
192,32658810.5087,16085452.95027,2020-11-28 00:00:00
193,23711872.31379,24248395.61955,2020-11-29 00:00:00
194,44095648.13981,24197952.3023,2020-11-30 00:00:00
195,54068770.29993,19806747.46931,2020-12-01 00:00:00
196,58859560.34852,10968951.27146,2020-12-02 00:00:00
197,56108615.11531,12685422.46143,2020-12-03 00:00:00
198,55026336.32258,11989918.199339999,2020-12-04 00:00:00
199,47705867.258540004,15552348.63284,2020-12-05 00:00:00
200,50575583.76372,23165874.27944,2020-12-06 00:00:00
201,51789695.18766,21610354.62734,2020-12-07 00:00:00
202,55498957.82029,27454032.91926,2020-12-08 00:00:00
203,54501811.1577,21476319.31549,2020-12-09 00:00:00
204,65794610.61923999,22708503.87972,2020-12-10 00:00:00
205,68423077.18273,17987944.91288,2020-12-11 00:00:00
206,85238243.38336,23418686.94492,2020-12-12 00:00:00
207,96204781.12192,14614265.00997,2020-12-13 00:00:00
208,87284101.87005,21925639.91212,2020-12-14 00:00:00
209,84005289.33731,18762059.22689,2020-12-15 00:00:00
210,84853312.62093,23356641.18355,2020-12-16 00:00:00
211,76703718.13264,30146227.3131,2020-12-17 00:00:00
212,63560328.484689996,34292475.3957,2020-12-18 00:00:00
213,62955502.5485,17777152.502499998,2020-12-19 00:00:00
214,44390839.41444,27621896.81655,2020-12-20 00:00:00
215,41941077.040599994,21845435.8406,2020-12-21 00:00:00
216,38633608.06089,22994009.947219998,2020-12-22 00:00:00
217,96555907.08873,3144152.4275599997,2020-12-23 00:00:00
218,78978650.75437999,26426134.72028,2020-12-24 00:00:00
219,49372574.020770006,10918845.63258,2020-12-25 00:00:00
220,58171500.84871,9888200.73951,2020-12-26 00:00:00
221,49389463.38391,10365380.3489,2020-12-27 00:00:00
222,47705105.62337,9485837.16416,2020-12-28 00:00:00
223,41373432.15466,6952061.64864,2020-12-29 00:00:00
224,38091209.10861,18500368.42011,2020-12-30 00:00:00
225,26955161.02677,7771530.70345,2020-12-31 00:00:00
226,13845251.12267,9273667.34164,2021-01-01 00:00:00
227,982163.55798,25480721.79333,2021-01-02 00:00:00
228,9236274.54283,12573321.40187,2021-01-03 00:00:00
229,1317189.4161999999,9486640.05825,2021-01-04 00:00:00
230,10361844.6028,15136952.79949,2021-01-05 00:00:00
231,10183032.42473,21711591.587980002,2021-01-06 00:00:00
232,13167174.21769,21066984.74097,2021-01-07 00:00:00
233,23648881.62842,13661886.56653,2021-01-08 00:00:00
234,17342791.34569,11753846.545359999,2021-01-09 00:00:00
235,7908761.50061,17726061.86031,2021-01-10 00:00:00
236,11106838.777849998,14094002.27958,2021-01-11 00:00:00
237,6959489.6251,19218847.81468,2021-01-12 00:00:00
238,13478726.84851,13925863.14679,2021-01-13 00:00:00
239,51454927.3305,16130846.853099998,2021-01-14 00:00:00
