,datetime,fundingRate,price_spot,volume_spot,price_perps,volume_perps,trades_perps
94,2022-11-25,0.0010950000000000003,1.0005,8331689.08,1.0013,242039.9,
95,2022-11-26,0.0010950000000000003,1.0006,7364574.34,1.0013,887398.9,
96,2022-11-27,9.942965,1.0005,5889546.73,1.0014,97461.8,
97,2022-11-28,20.536360000000002,1.0003,11531517.07,1.0014,898707.3,
98,2022-11-29,35.008610000000004,1.0003,8768724.66,1.0012,971792.3,
99,2022-11-30,1.5257,1.0,12652512.15,1.0002,380359.7,
100,2022-12-01,1.5497900000000002,0.9999,12563384.15,1.0007,241172.8,
101,2022-12-02,35.74919499999999,1.0,9413879.11,1.0006,103260.0,
102,2022-12-03,13.665235000000001,1.0,5218489.38,1.0004,219633.0,
103,2022-12-04,0.0010950000000000003,0.9998,13151080.1,1.0002,221548.6,
104,2022-12-05,0.0010950000000000003,0.9998,13925231.43,1.0002,110578.2,
105,2022-12-06,0.0010950000000000003,0.9999,8223491.37,1.0002,185321.0,
106,2022-12-07,0.0010950000000000003,1.0,8920292.12,1.0001,148545.3,
107,2022-12-08,0.0010950000000000003,0.9999,8579008.0,1.0002,116653.5,
108,2022-12-09,0.0010950000000000003,0.9999,8883808.91,1.0008,205853.8,
109,2022-12-10,6.77148,1.0,4462701.23,1.001,46816.5,
110,2022-12-11,14.192659999999998,1.0,5375884.83,1.0004,1959655.5,
111,2022-12-12,0.0010950000000000003,0.9999,14765969.04,1.0002,213208.2,
112,2022-12-13,0.0010950000000000003,1.0,29960912.73,1.0002,467678.2,
113,2022-12-14,0.0010950000000000003,1.0,17601446.73,1.0004,243417.5,
114,2022-12-15,0.0010950000000000003,1.0,14069766.16,1.0002,91728.3,
115,2022-12-16,0.0010950000000000003,0.9999,17038321.96,1.0003,82248.5,
116,2022-12-17,9.23669,0.9998,9623115.39,1.0006,986841.7,
117,2022-12-18,16.24031,0.9998,5828743.72,1.0007,229891.6,
118,2022-12-19,9.592565,0.9999,14047413.27,1.0005,564799.6,
119,2022-12-20,4.9358949999999995,0.9999,10305144.13,1.0014,817142.8,
120,2022-12-21,63.636655,1.0,6998801.68,1.001,202462.7,
121,2022-12-22,31.972905,1.0001,9918907.35,1.0005,237157.1,
122,2022-12-23,14.428815,1.0001,5167332.25,1.0008,282762.9,
123,2022-12-24,19.545385,1.0001,4225538.94,1.0007,71184.2,
124,2022-12-25,3.68066,1.0,3687091.4,1.0008,101721.7,
125,2022-12-26,0.0010950000000000003,1.0002,5575546.26,1.0006,40674.4,
126,2022-12-27,0.0010950000000000003,1.0003,8033879.29,1.0006,137136.7,
127,2022-12-28,0.0010950000000000003,1.0004,7873362.02,1.0006,211537.6,
128,2022-12-29,0.0010950000000000003,1.0004,10632745.46,1.0009,150441.0,
129,2022-12-30,0.0010950000000000003,1.0004,9202150.27,1.0008,74694.8,
130,2022-12-31,0.0010950000000000003,1.0005,5633195.01,1.0012,103932.0,
131,2023-01-01,1.5238749999999999,1.0004,7549265.85,1.001,106028.6,
132,2023-01-02,5.6432649999999995,1.0002,8340542.72,1.001,52495.5,
133,2023-01-03,11.668685,1.0004,7285598.28,1.0007,202976.8,
134,2023-01-04,0.0010950000000000003,1.0003,7343713.35,1.001,43174.0,
135,2023-01-05,2.31994,1.0003,3195917.6,1.0005,226468.0,
136,2023-01-06,0.0010950000000000003,1.0003,5807774.62,1.0006,107613.6,
137,2023-01-07,0.0010950000000000003,1.0002,2606516.34,1.001,23784.7,
138,2023-01-07,0.00036500000000000004,1.0002,2606516.34,1.001,23784.7,
139,2023-01-08,3.3503350000000003,1.0,2955184.12,1.0007,13947.1,
140,2023-01-09,7.56207,0.9999,8308340.08,1.0004,450759.0,
141,2023-01-10,3.3806300000000005,1.0,7045788.66,1.0008,383797.0,
142,2023-01-11,12.0377,1.0,4950249.51,1.0006,76939.4,
143,2023-01-12,0.9990050000000003,1.0,9857389.24,1.0004,728263.5,
144,2023-01-13,0.0010950000000000003,0.9999,8281269.08,1.0004,124216.1,
145,2023-01-14,0.0010950000000000003,0.9997,14379455.84,1.0002,333717.4,
146,2023-01-15,0.0010950000000000003,0.9995,4924044.52,1.0006,282740.7,
147,2023-01-16,23.870635,0.9996,8876510.95,1.0004,366327.6,
148,2023-01-17,0.0010950000000000003,0.9996,5456533.47,1.0004,30223.2,
149,2023-01-18,0.0010950000000000003,1.0,10220739.89,1.0006,187393.3,
150,2023-01-19,0.0010950000000000003,0.9999,4381016.82,1.0003,185574.7,
151,2023-01-20,0.0010950000000000003,0.9994,10548858.23,1.0004,101823.8,
152,2023-01-21,0.0010950000000000003,0.9999,11287801.82,1.0005,373946.5,
153,2023-01-22,1.57972,0.9998,6572439.12,1.0004,71446.0,
154,2023-01-23,10.398119999999999,0.9996,6069932.87,1.0005,106250.5,
155,2023-01-24,6.794475,0.9997,7083603.93,1.0005,202382.4,
156,2023-01-25,5.350899999999999,0.9997,11169887.97,1.0004,176113.1,
157,2023-01-26,0.040515,0.9998,5682633.44,1.0004,33517.6,
158,2023-01-27,3.5616700000000003,0.9997,3377108.8,1.0004,55046.9,
159,2023-01-28,4.569070000000001,0.9997,3002207.01,1.0003,7812.0,
160,2023-01-29,6.27362,0.9997,4618411.82,1.0003,75807.1,
161,2023-01-30,0.0010950000000000003,0.9999,6955134.59,1.0003,115846.8,
162,2023-01-31,0.0010950000000000003,0.9999,4554246.11,1.0003,287394.3,
163,2023-02-01,0.0010950000000000003,0.9998,6247085.74,1.0005,152578.2,
164,2023-02-02,3.3944999999999994,0.9998,9562557.84,1.0002,81202.6,
165,2023-02-03,0.0010950000000000003,0.9999,5426532.47,1.0004,102898.6,
166,2023-02-04,0.0010950000000000003,0.9998,2862407.27,1.0004,22184.2,
167,2023-02-05,5.183,0.9997,7011502.7,1.0004,135206.4,
168,2023-02-06,8.45851,0.9998,10232018.29,1.0004,121431.5,
169,2023-02-07,0.0010950000000000003,0.9999,4570974.71,1.0003,192272.4,
170,2023-02-08,0.0010950000000000003,0.9999,4121239.25,1.0004,45182.8,
171,2023-02-09,0.0010950000000000003,0.9998,6457288.33,1.0003,131060.0,
172,2023-02-10,3.6985449999999997,0.9996,5790635.85,1.0003,157684.7,
173,2023-02-11,0.620865,0.9997,3933457.34,1.0003,123792.6,
174,2023-02-12,0.0010950000000000003,0.9998,7025039.83,1.0004,124441.0,
175,2023-02-13,6.806520000000001,0.9994,19409320.67,0.9996,1181167.4,
176,2023-02-14,0.0010950000000000003,0.9995,10830328.87,1.0002,425481.1,
177,2023-02-15,0.0010950000000000003,0.9998,10107352.14,1.0002,180217.2,
178,2023-02-16,0.0010950000000000003,0.9998,15936750.76,0.9999,211263.6,
179,2023-02-17,0.0010950000000000003,0.9998,12459520.47,1.0001,202907.6,
180,2023-02-18,0.0010950000000000003,0.9998,5387937.39,1.0002,338603.9,
181,2023-02-19,0.0010950000000000003,0.9998,9278679.57,1.0,169486.9,
182,2023-02-20,0.0010950000000000003,0.9999,10631161.47,1.0001,138850.7,
183,2023-02-21,0.0010950000000000003,0.9999,13639485.33,1.0002,324428.3,
184,2023-02-22,0.0010950000000000003,0.9999,17812507.88,1.0001,101355.5,
185,2023-02-23,0.0010950000000000003,0.9998,18139819.97,1.0001,18313.5,
186,2023-02-24,0.0010950000000000003,0.9999,26435439.99,1.0002,93704.8,
187,2023-02-25,0.0010950000000000003,0.9999,8318731.37,1.0001,31339.3,
188,2023-02-26,0.0010950000000000003,1.0,9490737.73,1.0002,13777.6,
189,2023-02-27,0.0010950000000000003,0.9999,22750079.21,1.0004,42615.7,
190,2023-02-28,0.0010950000000000003,0.9998,16409044.56,1.0006,104397.9,
191,2023-03-01,0.0010950000000000003,0.9999,13832250.24,1.0004,586522.1,
192,2023-03-02,0.0010950000000000003,0.9999,15069205.1,1.0003,261908.6,
193,2023-03-03,0.48654499999999995,0.9999,20620288.49,1.0005,416452.0,
194,2023-03-04,0.0010950000000000003,1.0,10424214.85,1.0002,347852.2,
195,2023-03-05,0.0010950000000000003,1.0,11027594.83,1.0004,108005.2,
196,2023-03-06,0.0010950000000000003,1.0,11212494.09,1.0004,253302.4,
197,2023-03-07,0.0010950000000000003,1.0,18033412.63,1.0005,85379.9,
198,2023-03-08,0.0010950000000000003,1.0,10036797.06,1.0005,672568.7,
199,2023-03-09,0.0010950000000000003,1.0001,27572666.33,1.0005,338701.2,
200,2023-03-10,0.0010950000000000003,0.9945,58637810.24,0.9946,18021156.4,
201,2023-03-11,348.23701,0.9611,443696351.83,0.9591,1218151250.9,
202,2023-03-12,11.859580000000001,0.9847,186998773.59,0.9847,636794986.7,
203,2023-03-13,62.56757,0.9949,1036507986.0,0.99519,274492148.0,193996.0
204,2023-03-14,13.284174999999998,0.9961,937518041.0,0.99623,67979609.0,52344.0
205,2023-03-15,14.625915,0.996,1081776463.0,0.99615,61588985.0,59609.0
206,2023-03-16,8.389525,0.9975,948805169.0,0.99683,48581285.0,37181.0
207,2023-03-17,-4.0661,0.9977,1068606681.0,0.99725,68073546.0,49664.0
208,2023-03-18,-4.340579999999999,0.9971,419426325.0,0.99657,38843702.0,40509.0
209,2023-03-19,-1.545775,0.9969,277650525.0,0.99634,10921385.0,19177.0
210,2023-03-20,0.35185999999999984,0.9959,1368051446.0,0.99591,43141884.0,54988.0
211,2023-03-21,-19.217979999999997,0.9969,812714291.0,0.99645,31164548.0,58807.0
212,2023-03-22,-5.94512,0.9972,702913908.0,0.99663,22145033.0,73396.0
213,2023-03-23,-5.98527,0.9979,784786439.0,0.99732,12870909.0,20432.0
214,2023-03-24,-2.7207099999999995,0.9988,388517725.0,0.99826,23177276.0,52017.0
215,2023-03-25,-14.18171,0.999,208967652.0,0.99856,18385653.0,40252.0
216,2023-03-26,6.16193,0.9991,137957870.0,0.99851,6290602.0,12902.0
217,2023-03-27,-0.026279999999999994,0.9995,377732824.0,0.99884,14922146.0,35668.0
218,2023-03-28,-7.782165000000001,0.9997,310134717.0,0.9989,15559088.0,48679.0
219,2023-03-29,-9.819595,0.9998,231069323.0,0.99918,16217706.0,32353.0
220,2023-03-30,-4.77201,1.0,314586656.0,0.99942,8901534.0,19535.0
221,2023-03-31,3.4861150000000007,0.9997,309005717.0,0.9992,13362214.0,21916.0
222,2023-04-01,-14.901124999999999,0.9997,103770958.0,0.9988,28141859.0,35396.0
223,2023-04-02,-20.915594999999996,0.9995,128437895.0,0.99886,6780905.0,14704.0
224,2023-04-03,-9.772145,0.9997,358250196.0,0.99918,10774262.0,19525.0
225,2023-04-04,-4.133990000000001,0.9996,266884953.0,0.99908,6599220.0,15363.0
226,2023-04-05,-1.8662449999999997,0.9997,189058207.0,0.99917,6422508.0,16153.0
227,2023-04-06,1.03222,0.9994,201375483.0,0.99896,4121938.0,12709.0
228,2023-04-07,-0.3347050000000001,0.9993,148398678.0,0.99873,3406920.0,10567.0
229,2023-04-08,-6.499555,0.9994,128576738.0,0.99896,3140157.0,9847.0
230,2023-04-09,-5.1125549999999995,0.9993,69988769.0,0.99886,3398667.0,11006.0
231,2023-04-10,-4.680395000000001,0.9992,295287855.0,0.99889,4225222.0,9432.0
232,2023-04-11,6.14806,0.9989,457651188.0,0.99856,7060858.0,15864.0
233,2023-04-12,-4.66397,0.9993,360528390.0,0.99877,5430598.0,17357.0
234,2023-04-13,-9.261875,0.999,376306475.0,0.99847,6373592.0,16878.0
235,2023-04-14,-0.10365999999999999,0.999,400468888.0,0.99848,7538867.0,18596.0
236,2023-04-15,-4.325615,0.9992,158614740.0,0.99855,5670993.0,16922.0
237,2023-04-16,-4.197134999999999,0.9993,152996520.0,0.99879,5094594.0,13960.0
238,2023-04-17,-1.796165,0.9994,391023378.0,0.99866,5440430.0,14563.0
239,2023-04-18,-4.0288699999999995,0.9996,407945864.0,0.99919,5487601.0,14181.0
240,2023-04-19,-5.733785,0.9995,314656971.0,0.9991,8672891.0,21534.0
241,2023-04-20,-1.6614799999999998,0.9999,320888919.0,0.9994,6063902.0,15986.0
242,2023-04-21,-5.880515,1.0001,309079288.0,0.99957,7680601.0,14309.0
243,2023-04-22,-7.122245,1.0001,136614471.0,0.99939,4900125.0,13444.0
244,2023-04-23,-4.103694999999999,1.0,123241711.0,0.99951,6192644.0,16489.0
245,2023-04-24,1.18187,1.0,198899683.0,0.99939,5584885.0,15801.0
246,2023-04-25,1.3139999999999996,1.0,225187872.0,0.99923,7176728.0,16365.0
247,2023-04-26,-4.672,0.9997,355674902.0,0.99908,7953205.0,22090.0
248,2023-04-27,0.7467900000000002,0.9996,281928919.0,0.99914,8468945.0,21252.0
249,2023-04-28,1.083685,0.9992,266866016.0,0.99869,10472525.0,18805.0
250,2023-04-29,-6.165215,0.9995,122050580.0,0.9987,6535965.0,15690.0
251,2023-04-30,-5.311115,0.9995,151426915.0,0.99901,6385306.0,14053.0
252,2023-05-01,-3.083885,0.9997,378577099.0,0.99928,6146070.0,11740.0
253,2023-05-02,2.678735,0.9994,271219536.0,0.99902,6643099.0,11741.0
254,2023-05-03,4.12158,0.9998,307321334.0,0.99928,5233641.0,13751.0
255,2023-05-04,1.58629,0.9996,234047637.0,0.99907,3703847.0,9763.0
256,2023-05-05,-2.193285,0.999,340810062.0,0.99865,6305257.0,15663.0
257,2023-05-06,6.029800000000001,0.9982,248901441.0,0.99762,10171816.0,15592.0
258,2023-05-07,0.21827000000000002,0.9986,153245461.0,0.99829,5979205.0,12719.0
259,2023-05-08,2.6276349999999997,0.9992,358086526.0,0.99854,7155666.0,16245.0
260,2023-05-09,-2.24402,0.9994,253533554.0,0.9989,6228031.0,13191.0
261,2023-05-10,-4.90852,0.9993,293602662.0,0.99873,5895322.0,11027.0
262,2023-05-11,-1.60819,0.9995,246813875.0,0.99896,5239600.0,9358.0
263,2023-05-12,5.913,0.9995,237460727.0,0.99887,3177465.0,7687.0
264,2023-05-13,-1.409265,0.9996,67448610.0,0.99899,1614311.0,5991.0
265,2023-05-14,2.2181049999999995,0.9995,45280766.0,0.99892,2781029.0,5791.0
266,2023-05-15,-8.488805,0.9997,254089026.0,0.99909,3998916.0,8648.0
267,2023-05-16,2.12211,0.9997,207079278.0,0.99918,1710434.0,5400.0
268,2023-05-17,0.30806,0.9998,232960237.0,0.99917,3991144.0,9299.0
269,2023-05-18,6.882805,0.9999,172174143.0,0.99934,5983174.0,14280.0
270,2023-05-19,7.9559050000000004,0.9998,147384686.0,0.99927,3421473.0,8306.0
271,2023-05-20,6.84448,0.9997,45447164.0,0.99896,3942945.0,8626.0
272,2023-05-21,-7.845674999999999,0.9998,96837085.0,0.99903,2207740.0,5667.0
273,2023-05-22,0.9906100000000001,0.9997,256661242.0,0.99933,2283349.0,6952.0
274,2023-05-23,1.62936,0.9998,247102539.0,0.99933,2835053.0,9065.0
275,2023-05-24,0.22119000000000022,1.0,213404056.0,0.99941,5071986.0,8995.0
276,2023-05-25,-3.7912550000000005,1.0,152177400.0,0.99964,8501940.0,14946.0
277,2023-05-26,10.950000000000001,0.9998,216113579.0,0.99956,6227025.0,8746.0
278,2023-05-27,10.950000000000001,0.9997,79026068.0,0.99929,2714483.0,9874.0
279,2023-05-28,10.950000000000001,0.9999,178948285.0,0.99931,2746034.0,7943.0
280,2023-05-29,8.584435,0.9997,236429869.0,0.99933,1845475.0,6009.0
281,2023-05-30,10.950000000000001,0.9997,267435180.0,0.9992,3044423.0,7111.0
282,2023-05-31,10.950000000000001,0.9999,253802297.0,0.99914,4867906.0,16807.0
283,2023-06-01,3.5196949999999996,0.9998,223477937.0,0.99918,6195846.0,20445.0
284,2023-06-02,-2.2035050000000003,0.9998,213952354.0,0.99905,4264783.0,17981.0
285,2023-06-03,0.30660000000000004,0.9996,103627729.0,0.999,3990534.0,17225.0
286,2023-06-04,2.239275,0.9997,184875795.0,0.99911,3043728.0,12775.0
287,2023-06-05,-0.4321600000000001,0.9997,351512207.0,0.9991,2718728.0,12168.0
288,2023-06-06,-2.3560749999999997,0.9998,392174543.0,0.99914,3202827.0,12938.0
289,2023-06-07,-8.079274999999999,0.9999,367759456.0,0.99929,3164173.0,13597.0
290,2023-06-08,-12.727549999999999,0.9999,231595647.0,0.99926,3739982.0,22635.0
291,2023-06-09,-12.557094999999999,1.0,251095150.0,0.99949,4558619.0,16924.0
292,2023-06-10,-2.1998550000000003,0.9995,402264334.0,0.99908,10357628.0,26600.0
293,2023-06-11,-9.291440000000001,0.9996,139102411.0,0.99905,3396461.0,11663.0
294,2023-06-12,-5.053425000000001,0.9999,327504119.0,0.99929,2714865.0,9728.0
295,2023-06-13,-8.044599999999999,1.0001,323515917.0,0.99949,2635528.0,9654.0
296,2023-06-14,-11.924915,1.0001,280113601.0,0.99953,3981163.0,10779.0
297,2023-06-15,1.1012050000000002,1.0009,878278516.0,1.0008,92072621.0,56218.0
298,2023-06-16,10.950000000000001,1.0007,426756803.0,1.00078,25781268.0,51630.0
299,2023-06-17,10.950000000000001,1.0004,226319055.0,1.0003,13444586.0,14626.0
300,2023-06-18,10.950000000000001,1.0002,133778445.0,0.99994,8285305.0,10827.0
301,2023-06-19,8.708169999999999,1.0002,253632848.0,0.99974,6448319.0,53992.0
302,2023-06-20,4.243854999999999,0.9998,443281459.0,0.99954,11604844.0,131131.0
303,2023-06-21,5.1819049999999995,1.0,542756177.0,0.99946,16539165.0,125356.0
304,2023-06-22,1.173475,0.9997,409354480.0,0.99929,6407861.0,15575.0
305,2023-06-23,2.650265,0.9994,428014017.0,0.99906,3811851.0,9283.0
306,2023-06-24,10.905470000000001,0.9996,142518735.0,0.99906,3598593.0,9123.0
307,2023-06-25,3.1711199999999993,0.9997,158901823.0,0.99914,2319762.0,10768.0
308,2023-06-26,1.0592300000000001,0.9998,328416141.0,0.9993,1543920.0,7660.0
309,2023-06-27,-0.67963,0.9999,291715813.0,0.99937,1279539.0,7152.0
310,2023-06-28,-0.006934999999999995,1.0001,316848930.0,0.99957,4557660.0,14133.0
311,2023-06-29,-1.012145,1.0001,274044529.0,0.99972,3814829.0,12583.0
312,2023-06-30,1.65491,1.0002,659624338.0,0.99966,4977776.0,14080.0
313,2023-07-01,0.7347450000000002,1.0002,276555433.0,0.99956,1876896.0,7514.0
314,2023-07-02,1.023095,1.0001,147278455.0,0.99956,1331179.0,6559.0
315,2023-07-03,-2.680925,0.9999,305813484.0,0.99947,1547633.0,11396.0
316,2023-07-04,4.715434999999999,0.9998,226391432.0,0.99927,2282375.0,9269.0
317,2023-07-05,-1.6717,1.0,287764638.0,0.99939,1327301.0,6887.0
318,2023-07-06,-3.8923599999999996,1.0,410450934.0,0.99949,2237761.0,10837.0
319,2023-07-07,3.303615,0.9999,284907103.0,0.99942,4131430.0,13974.0
320,2023-07-08,5.6556750000000005,0.9998,116390474.0,0.9993,1708165.0,11136.0
321,2023-07-09,0.263895,0.9999,104725735.0,0.9994,970478.0,4842.0
322,2023-07-10,0.68328,0.9999,369833699.0,0.99934,2553134.0,14210.0
323,2023-07-11,2.879485,0.9999,291133758.0,0.99935,3880704.0,16740.0
324,2023-07-12,1.5384749999999998,1.0,313982372.0,0.99946,3350367.0,13961.0
325,2023-07-13,-9.18048,0.9996,649798706.0,0.99929,7213483.0,19943.0
326,2023-07-14,8.21761,0.9994,559091321.0,0.99903,4449483.0,19719.0
327,2023-07-15,6.831705,0.9997,241583616.0,0.99922,984419.0,10259.0
328,2023-07-16,2.421045,0.9995,207145446.0,0.99893,1583278.0,7961.0
329,2023-07-17,5.050870000000001,0.9999,299738504.0,0.99927,1261993.0,8103.0
330,2023-07-18,0.9230849999999999,0.9998,281390205.0,0.99938,1304527.0,7851.0
331,2023-07-19,-1.026745,0.9999,247001017.0,0.9994,1883916.0,9029.0
332,2023-07-20,-2.2666500000000003,1.0,202054237.0,0.9995,876697.0,4959.0
333,2023-07-21,-1.2869899999999999,1.0,128597148.0,0.99951,1499496.0,5065.0
334,2023-07-22,0.3485749999999999,1.0,137731810.0,0.99959,1395318.0,3995.0
335,2023-07-23,6.055350000000001,1.0,117781967.0,0.99952,1024494.0,6000.0
336,2023-07-24,8.631155,1.0001,266719950.0,0.99968,1963135.0,6714.0
337,2023-07-25,8.850885,1.0001,188736104.0,0.99966,1958467.0,7126.0
